,J [mm/day],Q [mm/day],ET [mm/day]
1/1/1993,0,1.360458101,0.248194029
1/2/1993,0,1.27048324,0.219757936
1/3/1993,5,1.199162011,0.122666587
1/4/1993,6,1.53153352,0.366584738
1/5/1993,16.5,4.022899441,0.404491767
1/6/1993,5.75,3.245932961,0.08804753
1/7/1993,13.25,4.089544693,0.196735249
1/8/1993,0,4.291013966,0.390125917
1/9/1993,38.5,17.25692179,0.299099952
1/10/1993,46.25,34.92864804,0.33162833
1/11/1993,10.75,15.51263128,0.398106814
1/12/1993,4.5,7.665259777,0.318189535
1/13/1993,21.5,10.10958939,0.1349156
1/14/1993,4.25,8.234497207,0.536618374
1/15/1993,25.25,16.48329888,0.57106167
1/16/1993,6.25,9.010458101,0.320923217
1/17/1993,6.25,8.180296089,0.488902143
1/18/1993,5.25,6.055918994,0.373364991
1/19/1993,34,13.30519274,0.271195133
1/20/1993,40.25,30.54622626,0.269748779
1/21/1993,18.5,16.96032402,0.347058751
1/22/1993,14.5,13.28739385,0.429004871
1/23/1993,19.75,13.02430726,0.368037344
1/24/1993,2.75,9.907667598,0.756806543
1/25/1993,1,6.669075419,0.194616322
1/26/1993,71.5,26.35303073,0.281329387
1/27/1993,16.25,22.50281564,0.158706311
1/28/1993,8.75,11.80485754,0.233028889
1/29/1993,0,8.118930168,0.258860878
1/30/1993,3.25,6.198888268,0.054288011
1/31/1993,1.25,5.049452514,0.116091034
2/1/1993,0.5,4.243273743,0.122505148
2/2/1993,1,3.648167598,0.263749694
2/3/1993,0,3.200656425,0.152249938
2/4/1993,0,2.856418994,0.729286088
2/5/1993,0,2.552103352,0.543153611
2/6/1993,0,2.303195531,0.813937908
2/7/1993,1,2.098081006,0.628165021
2/8/1993,1.25,1.930449721,0.157813662
2/9/1993,0.5,1.787706704,0.188934731
2/10/1993,0.25,1.632343575,0.054357143
2/11/1993,0.25,1.522256983,0.334546495
2/12/1993,0.25,1.416167598,0.263985568
2/13/1993,0.25,1.341502793,0.307171931
2/14/1993,0,1.254368715,1.23496134
2/15/1993,2.5,1.22402514,0.234224239
2/16/1993,0.75,1.117332402,0.473154999
2/17/1993,0,1.033642458,0.646180447
2/18/1993,2.75,1.014812849,0.405063461
2/19/1993,1,0.947061453,0.497433954
2/20/1993,2,0.901357542,0.513810214
2/21/1993,2,0.875840782,0.630986921
2/22/1993,3.75,0.868902235,0.477111806
2/23/1993,0,0.822067039,1.144158625
2/24/1993,0,0.782019553,0.225218733
2/25/1993,21.25,2.238108939,0.320509736
2/26/1993,6,1.849072626,0.51240193
2/27/1993,6,1.455511173,0.206303386
2/28/1993,0.5,1.217790503,0.057805201
3/1/1993,1,1.132944134,0
3/2/1993,0.25,1.075148045,0.047823423
3/3/1993,2.75,1.038067039,0.298227801
3/4/1993,0,1.002393855,0.815328213
3/5/1993,0.5,1.081734637,0.427510443
3/6/1993,0,1.099960894,1.163237147
3/7/1993,0,1.038695531,0.355277223
3/8/1993,0,1.002343575,0.304759917
3/9/1993,1,0.958298883,1.43019044
3/10/1993,4.75,1.014662011,0.53253422
3/11/1993,0,0.974765363,1.281864587
3/12/1993,0,0.941505587,0.372907531
3/13/1993,0,0.889114525,3.079783886
3/14/1993,0.25,0.864527933,1.008061151
3/15/1993,7.75,0.854195531,1.702607461
3/16/1993,16.25,1.752611732,0.780891891
3/17/1993,3,1.701905028,0.933189448
